City Name,latitude,longitude,Temperature,Humidity,Cloudiness,WindSpeed
sao jose da coroa grande,-11.432893758592328,-28.81327638761089,76.1,99.0,100.0,2.37
teknaf,20.303350782131073,91.53377991841613,90.716,48.0,0.0,1.52
porto novo,15.866495302063655,-28.257218611859738,73.4,94.0,40.0,1.0
ponta do sol,31.40272963222794,-20.506046495780694,66.77600000000001,97.0,64.0,1.32
lencois paulista,-22.784393428496596,-48.772152284981644,67.64,95.0,0.0,2.67
mombetsu,44.85420958907439,143.25811522000137,26.6,79.0,75.0,2.1
irece,-10.966355949421718,-41.575413394122805,74.066,63.0,88.0,1.72
asheboro,35.50237077157289,-79.61343959541543,38.048,59.0,1.0,3.67
derzhavinsk,50.31518316195025,66.9584650777112,18.662,96.0,76.0,3.47
touros,4.340442182569555,-31.070628795384167,78.476,94.0,92.0,3.62
grindavik,58.71060890684755,-26.08591990474977,26.6,73.0,75.0,7.2
oranjestad,14.613816304966821,-69.94080911674159,78.80000000000001,74.0,20.0,2.1
arambagh,23.051666881038976,87.76731074445917,93.47,55.0,24.0,2.07
general roca,-40.559436181710396,-66.49959938855955,60.8,67.0,0.0,1.5
burgersdorp,-31.219144664710214,25.66341077641252,56.21,96.0,88.0,1.67
srednekolymsk,69.41719450250406,152.72179963134505,-11.073999999999998,55.0,88.0,1.52
ponta delgada,27.97725603013292,-28.682753774961803,57.2,62.0,20.0,5.1
nizhnevartovsk,59.999429146538574,76.472315410543,10.399999999999999,92.0,90.0,5.0
russell,-26.74246898041219,178.5373410876111,73.4,53.0,40.0,6.7
aksarka,66.26679453516756,69.25682046430246,4.981999999999999,85.0,68.0,2.42
kempele,64.35873904676102,25.440417584223606,-9.399999999999999,83.0,0.0,1.5
cururupu,1.2688282967735298,-42.945385676557756,79.16,85.0,76.0,2.37
port elizabeth,-89.35269196083833,39.21550483175059,33.8,40.0,1.0,8.7
moerai,-21.289125363705658,-151.52327765274134,79.916,100.0,0.0,6.37
lavrentiya,70.96354807162415,-167.2974091077422,29.282,92.0,44.0,6.82
linhares,-20.446898265618543,-36.470071118442895,78.08000000000001,77.0,80.0,4.32
lakhimpur,27.164884898339707,93.87497671227337,64.4,93.0,75.0,2.6
sebezh,56.433631431391674,28.408759030720784,-0.1839999999999975,54.0,44.0,1.32
paamiut,58.531008247155675,-51.80456156347,25.592,100.0,12.0,8.97
griffith,-34.20345374135659,145.01859552011905,75.326,53.0,0.0,5.42
noumea,-28.28631982916193,163.84634823358513,86.0,55.0,0.0,6.7
mitu,1.4297024202911888,-68.56472131388018,50.81,62.0,0.0,3.57
susurluk,39.67789348754842,28.383795792662163,44.6,93.0,75.0,2.6
